item_key,item_name,item_subaccount,item_account,item_group,item_class,item_sign,item_periodicity
110000,EFECTIVO,0,0,1,1,1,Monthly
110500,CAJA,0,5,1,1,1,Monthly
110505,EFECTIVO,5,5,1,1,1,Monthly
110510,CHEQUES,10,5,1,1,1,Monthly
110520,CAJA MENOR,20,5,1,1,1,Monthly
111000,BANCO DE LA REPUBLICA,0,10,1,1,1,Monthly
111005,CUENTA CORRIENTE BANCARIA,5,10,1,1,1,Monthly
111010,CERTIFICADOS DE CAMBIO PROPIOS,10,10,1,1,1,Monthly
111015,CERTIFICADOS DE CAMBIO EN ADMINISTRACION,15,10,1,1,1,Monthly
111020,DEPOSITOS DE CONTRACCION MONETARIA,20,10,1,1,1,Monthly
111500,BANCOS Y OTRAS ENTIDADES FINANCIERAS,0,15,1,1,1,Monthly
111505,BANCOS NACIONALES,5,15,1,1,1,Monthly
111510,BANCOS DEL EXTERIOR,10,15,1,1,1,Monthly
111515,CORRESPONSALES,15,15,1,1,1,Monthly
111520,SUCURSALES EN EL EXTRANJERO,20,15,1,1,1,Monthly
111595,OTRAS ENTIDADES FINANCIERAS,95,15,1,1,1,Monthly
112000,CANJE,0,20,1,1,1,Monthly
113000,REMESAS EN TRANSITO,0,30,1,1,1,Monthly
113005,CHEQUES PAIS,5,30,1,1,1,Monthly
113010,CHEQUES SOBRE EL EXTERIOR,10,30,1,1,1,Monthly
120000,OPERACIONES DEL MERCADO MONETARIO Y RELACIONADAS,0,0,2,1,1,Monthly
120500,FONDOS INTERASOCIADOS ACTIVOS,0,5,2,1,1,Monthly
120505,COMPANIAS DE SEGUROS GENERALES,5,5,2,1,1,Monthly
120510,COMPANIAS DE SEGUROS DE VIDA,10,5,2,1,1,Monthly
121000,FONDOS INTERBANCARIOS VENDIDOS ORDINARIOS,0,10,2,1,1,Monthly
121005,BANCOS,5,10,2,1,1,Monthly
121010,CORPORACIONES FINANCIERAS,10,10,2,1,1,Monthly
121015,COMPANIAS DE FINANCIAMIENTO,15,10,2,1,1,Monthly
121020,BANCO DE LA REPUBLICA,20,10,2,1,1,Monthly
121025,TESORERIA GENERAL DE LA NACION,25,10,2,1,1,Monthly
121030,ENTIDADES DEL SECTOR PUBLICO,30,10,2,1,1,Monthly
121035,RESIDENTES DEL EXTERIOR,35,10,2,1,1,Monthly
121095,OTRAS ENTIDADES FINANCIERAS,95,10,2,1,1,Monthly
121500,OPERACIONES DE REPORTO O REPO,0,15,2,1,1,Monthly
121505,COMPROMISOS DE TRANSFERENCIA EN OPERACIONES DE REPO ABIERTO,5,15,2,1,1,Monthly
121510,COMPROMISOS DE TRANSFERENCIA EN OPERACIONES DE REPO CERRADO,10,15,2,1,1,Monthly
121512,COMPROMISOS DE TRANSFERENCIA EN OPERACIONES REPO CARTERA,12,15,2,1,1,Monthly
121515,CUPONES POR RECIBIR DE VALORES EN OPERACIONES REPO,15,15,2,1,1,Monthly
121520,CUENTAS POR COBRAR POR INCUMPLIMIENTO O TERMINACION ANTICIPADA EN OPERACIONES REPO,20,15,2,1,1,Monthly
121525,LLAMADO AL MARGEN ENTREGADO EN DINERO EN OPERACIONES REPO,25,15,2,1,1,Monthly
122000,OPERACIONES SIMULTANEAS,0,20,2,1,1,Monthly
122005,COMPROMISOS DE TRANSFERENCIA DE INVERSIONES EN OPERACIONES SIMULTANEAS,5,20,2,1,1,Monthly
122010,CUPONES POR RECIBIR DE VALORES EN OPERACIONES SIMULTANEAS,10,20,2,1,1,Monthly
122015,CUENTAS POR COBRAR POR INCUMPLIMIENTO O TERMINACION ANTICIPADA EN OPERACIONES SIMULTANEAS,15,20,2,1,1,Monthly
122020,LLAMADO AL MARGEN ENTREGADO EN DINERO EN OPERACIONES SIMULTANEAS,20,20,2,1,1,Monthly
122500,OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES,0,25,2,1,1,Monthly
122505,COMPROMISOS ORIGINADOS EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES,5,25,2,1,1,Monthly
122510,RENDIMIENTOS POR COBRAR DE COMPROMISOS EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES,10,25,2,1,1,Monthly
122515,CUPONES POR RECIBIR DE VALORES EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES,15,25,2,1,1,Monthly
122520,CUENTAS POR COBRAR POR INCUMPLIMIENTO O TERMINACION ANTICIPADA EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES,20,25,2,1,1,Monthly
122525,LLAMADO AL MARGEN EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES,25,25,2,1,1,Monthly
123000,COMPROMISOS DE REVENTA DE CARTERA,0,30,2,1,1,Monthly
123005,BANCOS,5,30,2,1,1,Monthly
123010,CORPORACIONES FINANCIERAS,10,30,2,1,1,Monthly
123020,COMPANIAS DE FINANCIAMIENTO COMERCIAL,20,30,2,1,1,Monthly
123025,OTRAS ENTIDADES FINANCIERAS,25,30,2,1,1,Monthly
123095,OTRAS,95,30,2,1,1,Monthly
130000,INVERSIONES Y OPERACIONES CON DERIVADOS,0,0,3,1,1,Monthly
130100,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA,0,1,3,1,1,Monthly
130105,TITULOS DE TESORERIA ¿TES,5,1,3,1,1,Monthly
130110,OTROS TITULOS EMITIDOS POR EL GOBIERNO NACIONAL,10,1,3,1,1,Monthly
130115,OTROS EMISORES NACIONALES,15,1,3,1,1,Monthly
130120,EMISORES EXTRANJEROS,20,1,3,1,1,Monthly
130200,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS DE PATRIMONIO,0,2,3,1,1,Monthly
130205,EMISORES NACIONALES,5,2,3,1,1,Monthly
130210,EMISORES EXTRANJEROS,10,2,3,1,1,Monthly
130300,INVERSIONES A COSTO AMORTIZADO,0,3,3,1,1,Monthly
130305,TITULOS DE TESORERIA - TES,5,3,3,1,1,Monthly
130310,OTROS TITULOS EMITIDOS POR EL GOBIERNO NACIONAL,10,3,3,1,1,Monthly
130315,OTROS EMISORES NACIONALES,15,3,3,1,1,Monthly
130320,EMISORES EXTRANJEROS,20,3,3,1,1,Monthly
130400,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI - INSTRUMENTOS DE PATRIMONIO,0,4,3,1,1,Monthly
130405,EMISORES NACIONALES,5,4,3,1,1,Monthly
130410,EMISORES EXTRANJEROS,10,4,3,1,1,Monthly
130500,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS REPRESENTATIVOS DE DEUDA (DERECHOS DE TRANSFERENCIA),0,5,3,1,1,Monthly
130505,TITULOS DE TESORERIA ¿TES,5,5,3,1,1,Monthly
130510,OTROS TITULOS EMITIDOS POR EL GOBIERNO NACIONAL,10,5,3,1,1,Monthly
130515,OTROS EMISORES NACIONALES,15,5,3,1,1,Monthly
130520,EMISORES EXTRANJEROS,20,5,3,1,1,Monthly
130600,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS DE PATRIMONIO (DERECHOS DE TRANSFERENCIA),0,6,3,1,1,Monthly
130605,EMISORES NACIONALES,5,6,3,1,1,Monthly
130610,EMISORES EXTRANJEROS,10,6,3,1,1,Monthly
130700,INVERSIONES A COSTO AMORTIZADO CON CAMBIOS EN RESULTADOS ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS REPRESENTATIVOS DE DEUDA (DERECHOS DE TRANSFERENCIA),0,7,3,1,1,Monthly
130705,TITULOS DE TESORERIA ¿TES,5,7,3,1,1,Monthly
130710,OTROS TITULOS EMITIDOS POR EL GOBIERNO NACIONAL,10,7,3,1,1,Monthly
130715,OTROS EMISORES NACIONALES,15,7,3,1,1,Monthly
130720,EMISORES EXTRANJEROS,20,7,3,1,1,Monthly
130800,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS DE PATRIMONIO,0,8,3,1,1,Monthly
130805,EMISORES NACIONALES,5,8,3,1,1,Monthly
130810,EMISORES EXTRANJEROS,10,8,3,1,1,Monthly
130900,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADAS EN GARANTIA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA,0,9,3,1,1,Monthly
130905,TITULOS DE TESORERIA ¿TES,5,9,3,1,1,Monthly
130910,OTROS TITULOS EMITIDOS POR EL GOBIERNO NACIONAL,10,9,3,1,1,Monthly
130915,OTROS EMISORES NACIONALES,15,9,3,1,1,Monthly
130920,EMISORES EXTRANJEROS,20,9,3,1,1,Monthly
131000,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN GARANTIA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS DE PATRIMONIO,0,10,3,1,1,Monthly
131005,EMISORES NACIONALES,5,10,3,1,1,Monthly
131010,EMISORES EXTRANJEROS,10,10,3,1,1,Monthly
131100,INVERSIONES A COSTO AMORTIZADO CON CAMBIOS EN RESULTADOS ENTREGADOS EN GARANTIA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA,0,11,3,1,1,Monthly
131105,TITULOS DE TESORERIA ¿TES,5,11,3,1,1,Monthly
131110,OTROS TITULOS EMITIDOS POR EL GOBIERNO NACIONAL,10,11,3,1,1,Monthly
131115,OTROS EMISORES NACIONALES,15,11,3,1,1,Monthly
131120,EMISORES EXTRANJEROS,20,11,3,1,1,Monthly
131200,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN GARANTIA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS DE PATRIMONIO,0,12,3,1,1,Monthly
131205,EMISORES NACIONALES,5,12,3,1,1,Monthly
131210,EMISORES EXTRANJEROS,10,12,3,1,1,Monthly
131500,INVERSIONES EN SUBSIDIARIAS Y FILIALES,0,15,3,1,1,Monthly
131505,SUBSIDIARIAS Y FILIALES NACIONALES,5,15,3,1,1,Monthly
131510,SUBSIDIARIAS Y FILIALES EXTRANJERAS,10,15,3,1,1,Monthly
131600,INVERSIONES EN ASOCIADAS,0,16,3,1,1,Monthly
131605,ASOCIADAS NACIONALES,5,16,3,1,1,Monthly
131610,ASOCIADAS EXTRANJERAS,10,16,3,1,1,Monthly
131700,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI - INSTRUMENTOS REPRESENTATIVOS DE DEUDA,0,17,3,1,1,Monthly
131705,TITULOS DE TESORERIA ¿TES,5,17,3,1,1,Monthly
131710,OTROS TITULOS DE DEUDA PUBLICA,10,17,3,1,1,Monthly
131715,OTROS EMISORES NACIONALES,15,17,3,1,1,Monthly
131720,EMISORES EXTRANJEROS,20,17,3,1,1,Monthly
131800,INVERSIONES PATRIMONIALES EN ENTIDADES EN LIQUIDACION,0,18,3,1,1,Monthly
132000,INVERSIONES EN ACUERDOS CONJUNTOS,0,20,3,1,1,Monthly
132005,NEGOCIOS CONJUNTOS NACIONALES,5,20,3,1,1,Monthly
132010,NEGOCIOS CONJUNTOS EXTRANJEROS,10,20,3,1,1,Monthly
132015,OPERACIONES CONJUNTAS NACIONALES,15,20,3,1,1,Monthly
132020,OPERACIONES CONJUNTAS EXTRANJERAS,20,20,3,1,1,Monthly
132100,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS DE DEUDA,0,21,3,1,1,Monthly
132105,TITULOS DE TESORERIA ¿TES,5,21,3,1,1,Monthly
132110,OTROS TITULOS DE DEUDA PUBLICA,10,21,3,1,1,Monthly
132115,OTROS EMISORES NACIONALES,15,21,3,1,1,Monthly
132120,EMISORES EXTRANJEROS,20,21,3,1,1,Monthly
132200,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN GARANTIA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS DE DEUDA,0,22,3,1,1,Monthly
132205,TITULOS DE TESORERIA ¿TES,5,22,3,1,1,Monthly
132210,OTROS TITULOS DE DEUDA PUBLICA,10,22,3,1,1,Monthly
132215,OTROS EMISORES NACIONALES,15,22,3,1,1,Monthly
132220,EMISORES EXTRANJEROS,20,22,3,1,1,Monthly
132300,INVERSIONES A VARIACION PATRIMONIAL CON CAMBIOS EN EL ORI - INSTRUMENTOS DE PATRIMONIO,0,23,3,1,1,Monthly
132305,INVERSIONES OBLIGATORIAS EN INSTRUMENTOS DE PATRIMONIO,5,23,3,1,1,Monthly
132310,OTRAS,10,23,3,1,1,Monthly
132500,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO ¿ INSTRUMENTOS DE PATRIMONIO,0,25,3,1,1,Monthly
132505,EMISORES NACIONALES,5,25,3,1,1,Monthly
132510,EMISORES EXTRANJEROS,10,25,3,1,1,Monthly
135000,OPERACIONES CARRUSEL,0,50,3,1,1,Monthly
135005,DERECHOS EN COMPROMISOS DE COMPRA,5,50,3,1,1,Monthly
135010,DERECHOS EN COMPROMISOS DE VENTA,10,50,3,1,1,Monthly
135015,OBLIGACIONES EN COMPROMISOS DE COMPRA,15,50,3,1,1,Monthly
135020,OBLIGACIONES EN COMPROMISOS DE VENTA,20,50,3,1,1,Monthly
135100,OPERACIONES DE CONTADO,0,51,3,1,1,Monthly
135105,DERECHOS DE COMPRA SOBRE DIVISAS,5,51,3,1,1,Monthly
135110,DERECHOS DE VENTA SOBRE DIVISAS,10,51,3,1,1,Monthly
135115,DERECHOS DE COMPRA SOBRE TITULOS,15,51,3,1,1,Monthly
135120,DERECHOS DE VENTA SOBRE TITULOS,20,51,3,1,1,Monthly
135125,DERECHOS ¿ OTROS,25,51,3,1,1,Monthly
135130,OBLIGACIONES DE COMPRA SOBRE DIVISAS,30,51,3,1,1,Monthly
135135,OBLIGACIONES DE VENTA SOBRE DIVISAS,35,51,3,1,1,Monthly
135140,OBLIGACIONES DE COMPRA SOBRE TITULOS,40,51,3,1,1,Monthly
135145,OBLIGACIONES DE VENTA SOBRE TITULOS,45,51,3,1,1,Monthly
135195,OBLIGACIONES ¿ OTROS,95,51,3,1,1,Monthly
135200,CONTRATOS FORWARD - DE NEGOCIACION,0,52,3,1,1,Monthly
135205,DE MONEDAS (PESO/DOLAR),5,52,3,1,1,Monthly
135210,DE MONEDAS (DIFERENTES PESO/DOLAR),10,52,3,1,1,Monthly
135215,DE TASAS DE INTERES,15,52,3,1,1,Monthly
135220,DE TITULOS,20,52,3,1,1,Monthly
135295,OTROS,95,52,3,1,1,Monthly
135300,CONTRATOS DE FUTUROS ¿ DE NEGOCIACION,0,53,3,1,1,Monthly
135305,DE MONEDAS,5,53,3,1,1,Monthly
135310,DE TASAS DE INTERES,10,53,3,1,1,Monthly
135315,DE TITULOS,15,53,3,1,1,Monthly
135320,DE INDICES,20,53,3,1,1,Monthly
135395,OTROS,95,53,3,1,1,Monthly
135400,SWAPS ¿ DE NEGOCIACION,0,54,3,1,1,Monthly
135405,DE MONEDAS,5,54,3,1,1,Monthly
135410,DE TASAS DE INTERES,10,54,3,1,1,Monthly
135495,OTROS,95,54,3,1,1,Monthly
135500,OPCIONES DE NEGOCIACION,0,55,3,1,1,Monthly
135505,COMPRA CALLS DE MONEDAS,5,55,3,1,1,Monthly
135510,COMPRA CALLS DE TASAS DE INTERES,10,55,3,1,1,Monthly
135515,COMPRA CALLS DE TITULOS,15,55,3,1,1,Monthly
135520,COMPRA CALLS DE INDICES,20,55,3,1,1,Monthly
135525,COMPRA CALLS ¿ OTRAS,25,55,3,1,1,Monthly
135530,COMPRA PUTS DE MONEDAS,30,55,3,1,1,Monthly
135535,COMPRA PUTS DE TASAS DE INTERES,35,55,3,1,1,Monthly
135540,COMPRA PUTS DE TITULOS,40,55,3,1,1,Monthly
135545,COMPRA PUTS DE INDICES,45,55,3,1,1,Monthly
135550,COMPRA PUTS ¿ OTRAS,50,55,3,1,1,Monthly
135600,CONTRATOS FORWARD - DE COBERTURA,0,56,3,1,1,Monthly
135605,DE MONEDAS (PESO/DOLAR),5,56,3,1,1,Monthly
135610,DE MONEDAS (DIFERENTES PESO/DOLAR),10,56,3,1,1,Monthly
135615,DE TASAS DE INTERES,15,56,3,1,1,Monthly
135620,DE TITULOS,20,56,3,1,1,Monthly
135695,OTROS,95,56,3,1,1,Monthly
135700,CONTRATOS DE FUTUROS ¿ DE COBERTURA,0,57,3,1,1,Monthly
135705,DE MONEDAS,5,57,3,1,1,Monthly
135710,DE INTERES,10,57,3,1,1,Monthly
135715,DE TITULOS,15,57,3,1,1,Monthly
135720,DE INDICES,20,57,3,1,1,Monthly
135795,OTROS,95,57,3,1,1,Monthly
135800,SWAPS ¿ DE COBERTURA,0,58,3,1,1,Monthly
135805,DE MONEDAS,5,58,3,1,1,Monthly
135810,DE TASAS DE INTERES,10,58,3,1,1,Monthly
135895,OTROS,95,58,3,1,1,Monthly
135900,OPCIONES DE COBERTURA,0,59,3,1,1,Monthly
135905,COMPRA CALLS DE MONEDAS,5,59,3,1,1,Monthly
135910,COMPRA CALLS DE TASAS DE INTERES,10,59,3,1,1,Monthly
135915,COMPRA CALLS DE TITULOS,15,59,3,1,1,Monthly
135920,COMPRA CALLS DE INDICES,20,59,3,1,1,Monthly
135925,COMPRA CALLS ¿ OTRAS,25,59,3,1,1,Monthly
135930,COMPRA PUTS DE MONEDAS,30,59,3,1,1,Monthly
135935,COMPRA PUTS DE TASAS DE INTERES,35,59,3,1,1,Monthly
135940,COMPRA PUTS DE TITULOS,40,59,3,1,1,Monthly
135945,COMPRA PUTS DE INDICES,45,59,3,1,1,Monthly
135950,COMPRA PUTS ¿ OTRAS,50,59,3,1,1,Monthly
136000,IINVERSIONES DERECHOS FIDUCIARIOS,0,60,3,1,1,Monthly
139000,DETERIORO INVERSIONES A COSTO AMORTIZADO,0,90,3,1,1,Monthly
139005,INSTRUMENTOS DE DEUDA,5,90,3,1,1,Monthly
139010,INSTRUMENTOS DE PATRIMONIO,10,90,3,1,1,Monthly
139500,DETERIORO EN INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI,0,95,3,1,1,Monthly
140000,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,0,0,4,1,1,Monthly
140400,CARTERA DE VIVIENDA Y OPERACIONES DE LEASING HABITACIONAL,0,4,4,1,1,Monthly
140405,CATEGORIA A RIESGO NORMAL CARTERA DE VIVIENDA,5,4,4,1,1,Monthly
140410,CATEGORIA A RIESGO NORMAL LEASING HABITACIONAL,10,4,4,1,1,Monthly
140415,CATEGORIA B RIESGO ACEPTABLE CARTERA DE VIVIENDA,15,4,4,1,1,Monthly
140420,CATEGORIA B RIESGO ACEPTABLE LEASING HABITACIONAL,20,4,4,1,1,Monthly
140425,CATEGORIA C RIESGO APRECIABLE CARTERA DE VIVIENDA,25,4,4,1,1,Monthly
140430,CATEGORIA C RIESGO APRECIABLE LEASING HABITACIONAL,30,4,4,1,1,Monthly
140435,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA DE VIVIENDA,35,4,4,1,1,Monthly
140440,CATEGORIA D RIESGO SIGNIFICATIVO LEASING HABITACIONAL,40,4,4,1,1,Monthly
140445,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA DE VIVIENDA,45,4,4,1,1,Monthly
140450,CATEGORIA E RIESGO DE INCOBRABILIDAD LEASING HABITACIONAL,50,4,4,1,1,Monthly
140500,SOBRE TITULOS DE CAPITALIZACION,0,5,4,1,1,Monthly
140505,PLANES TRADICIONALES,5,5,4,1,1,Monthly
140600,CARTERA DE CREDITOS ¿ ACTIVIDAD ASEGURADORA,0,6,4,1,1,Monthly
140605,CON GARANTIA HIPOTECARIA,5,6,4,1,1,Monthly
140610,CON GARANTIA PRENDARIA,10,6,4,1,1,Monthly
140800,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,0,8,4,1,1,Monthly
140805,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING DE CONSUMO,5,8,4,1,1,Monthly
140810,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEASING DE CONSUMO,10,8,4,1,1,Monthly
140815,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEASING DE CONSUMO,15,8,4,1,1,Monthly
140820,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE LEASING DE CONSUMO,20,8,4,1,1,Monthly
140825,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES DE LEASING DE CONSUMO,25,8,4,1,1,Monthly
141000,CARTERA Y OPERACIONES DE LEASING COMERCIALES,0,10,4,1,1,Monthly
141005,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING COMERCIALES,5,10,4,1,1,Monthly
141010,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEASING COMERCIALES,10,10,4,1,1,Monthly
141015,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LEASING COMERCIALES",15,10,4,1,1,Monthly
141020,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE LEASING COMERCIALES,20,10,4,1,1,Monthly
141025,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES DE LEASING COMERCIALES,25,10,4,1,1,Monthly
141200,CARTERA Y LEASING DE MICROCREDITOS,0,12,4,1,1,Monthly
141205,CATEGORIA A RIESGO NORMAL,5,12,4,1,1,Monthly
141210,CATEGORIA B RIESGO ACEPTABLE,10,12,4,1,1,Monthly
141215,CATEGORIA C RIESGO APRECIABLE,15,12,4,1,1,Monthly
141220,CATEGORIA D RIESGO SIGNIFICATIVO,20,12,4,1,1,Monthly
141225,CATEGORIA E RIESGO DE INCOBRABILIDAD,25,12,4,1,1,Monthly
141400,PRESTAMOS A EMPLEADOS,0,14,4,1,1,Monthly
141405,"CATEGORIA A RIESGO NORMAL, VIVIENDA",5,14,4,1,1,Monthly
141410,"CATEGORIA B RIESGO ACEPTABLE, VIVIENDA",10,14,4,1,1,Monthly
141415,"CATEGORIA C RIESGO APRECIABLE, VIVIENDA",15,14,4,1,1,Monthly
141420,"CATEGORIA D RIESGO SIGNIFICATIVO, VIVIENDA",20,14,4,1,1,Monthly
141425,"CATEGORIA E RIESGO DE INCOBRABILIDAD, VIVIENDA",25,14,4,1,1,Monthly
141430,"CATEGORIA A RIESGO NORMAL, LEASING HABITACIONAL",30,14,4,1,1,Monthly
141435,"CATEGORIA B RIESGO ACEPTABLE, LEASING HABITACIONAL",35,14,4,1,1,Monthly
141440,"CATEGORIA C RIESGO APRECIABLE, LEASING HABITACIONAL",40,14,4,1,1,Monthly
141445,"CATEGORIA D RIESGO SIGNIFICATIVO, LEASING HABITACIONAL",45,14,4,1,1,Monthly
141450,"CATEGORIA E RIESGO DE INCOBRABILIDAD, LEASING HABITACIONAL",50,14,4,1,1,Monthly
141460,"CATEGORIA A RIESGO NORMAL, CONSUMO",60,14,4,1,1,Monthly
141465,"CATEGORIA B RIESGO ACEPTABLE, CONSUMO",65,14,4,1,1,Monthly
141470,"CATEGORIA C RIESGO APRECIABLE, CONSUMO",70,14,4,1,1,Monthly
141475,"CATEGORIA D RIESGO SIGNIFICATIVO, CONSUMO",75,14,4,1,1,Monthly
141480,"CATEGORIA E RIESGO DE INCOBRABILIDAD, CONSUMO",80,14,4,1,1,Monthly
141600,DERECHOS DE TRANSFERENCIA DE CARTERA DE CREDITOS POR OPERACIONES DE APOYOS TRANSITORIOS DE LIQUIDEZ,0,16,4,1,1,Monthly
141605,VIVIENDA,5,16,4,1,1,Monthly
141610,CONSUMO,10,16,4,1,1,Monthly
141615,MICROCREDITO,15,16,4,1,1,Monthly
141620,COMERCIAL,20,16,4,1,1,Monthly
141800,CARTERA DE CREDITOS ENTREGADAS EN OPERACIONES REPO-BANREP (DERECHOS DE TRANSFERENCIA),0,18,4,1,1,Monthly
141805,VIVIENDA,5,18,4,1,1,Monthly
141810,CONSUMO,10,18,4,1,1,Monthly
141815,MICROCREDITO,15,18,4,1,1,Monthly
141820,COMERCIAL,20,18,4,1,1,Monthly
142000,SOBRE POLIZAS,0,20,4,1,1,Monthly
142005,VIDA,5,20,4,1,1,Monthly
142010,DE AHORRO CON PARTICIPACION,10,20,4,1,1,Monthly
142015,EMITIDAS EN UVR,15,20,4,1,1,Monthly
142400,OTROS CONCEPTOS - ACTIVIDAD ASEGURADORA,0,24,4,1,1,Monthly
142405,POR FINANCIACION DE PRIMAS,5,24,4,1,1,Monthly
142495,OTROS,95,24,4,1,1,Monthly
148700,DETERIORO COMPONENTE CONTRACICLICO INDIVIDUAL,0,87,4,1,1,Monthly
148705,CREDITOS Y OPERACIONES DE LEASING DE CONSUMO,5,87,4,1,1,Monthly
148710,CREDITOS Y OPERACIONES DE LEASING COMERCIALES,10,87,4,1,1,Monthly
148800,DETERIORO (PROVISION) PRESTAMOS A EMPLEADOS,0,88,4,1,1,Monthly
148805,"CATEGORIA A RIESGO NORMAL, VIVIENDA",5,88,4,1,1,Monthly
148810,"CATEGORIA B RIESGO ACEPTABLE, VIVIENDA",10,88,4,1,1,Monthly
